"species","graf_cur_auc","phys_cur_auc","maxent_cur_auc"
"hyla gratiosa",0.712940212940213,0.615888615888616,0.798730548730549
"hyla regilla",0.794331838844264,0.793114452954731,0.782861635220127
"hyla walkeri",0.913265306122449,0.908163265306122,0.901785714285714
"litoria gracilenta",0.786167491045541,0.786440388879414,0.807692307692307
"pseudacris triseriata",0.823081592392129,0.822543231466293,0.818158661107216
"pseudacris triseriata",0.842583142263654,0.842448375248868,0.841319926111739
"smilisca baudini",0.800532194325977,0.800995344907812,0.792763701001993
"tlalocohyla smithi",0.799883280316295,0.799981916668722,0.787068774196731
"eleutherodactylus coqui",0.961297785194175,0.958756826456311,0.910810452063108
"eleutherodactylus portoricensus",0.967960858585858,0.969539141414141,0.964015151515151
"leptodactylus melanotus",0.815013149411432,0.811891410454391,0.804132482258816
"adelotus brevis",0.828082530269333,0.824733720884863,0.823446217471032
"crinia signifera",0.908111336910221,0.906489409643985,0.889942775515063
"limnodynastes fletcheri",0.762409193495022,0.758596678370889,0.731494239250139
"limnodynastes peroni",0.94096418450613,0.940026403541719,0.919609182059253
"limnodynastes tasmaniensis",0.83205700744834,0.82669284532168,0.805256160202191
"neobatrachus pictus",0.819228161242049,0.805853675645342,0.80069795173962
"philoria loveridgei",0.960032924821657,0.960032924821657,0.943021766965429
"philoria sphagnicola",0.94568745652678,0.932309297472757,0.95306051472293
"pseudophryne bibroni",0.87138573006145,0.869663946656324,0.849354489281529
"pseudophryne corroboree",0.878472222222222,0.883680555555556,0.920138888888889
"pseudophryne dendyi",0.839899099996885,0.83734545794276,0.865030674846626
"rana boyleri",0.840177876930706,0.839560308057886,0.830131163935687
"rana cascadae",0.896384688090737,0.890713610586012,0.906309073724007
"rana catesbeiana",0.797616561225499,0.791918560936896,0.814222596055263
"rana palmipes",0.826747720364742,0.81719496309162,0.858445505861919
"rana palustris",0.739542920847268,0.739754738015608,0.737803790412486
"rana pipiens",0.856918510433309,0.857065157868743,0.862203386998865
"rana sylvaticus",0.952133991303667,0.952419678925208,0.947985807038959
"rana virgatipes",0.778801843317972,0.761904761904762,0.80184331797235
"rana warszewitschii",0.873883928571428,0.866071428571428,0.888392857142857
"spea hammondi",0.801379070080818,0.800031551651042,0.796702195140388
"ambystoma jeffersonianum",0.928184346174715,0.9283539066739,0.898802902875746
"ambystoma macrodactylum",0.83815737833595,0.835459183673469,0.839040423861853
"ambystoma maculatum",0.830387692480137,0.829897297221558,0.832189544773088
"desmognathus ochrophaeus",0.888868444444444,0.888189333333332,0.888792000000003
"desmognathus quadramaculatus",0.919211318097434,0.91344984315985,0.917402855130913
"eurycea longicauda",0.723260073260073,0.721306471306472,0.717094017094017
"eurycea lucifuga",0.735171696149843,0.723465140478668,0.835848074921956
"eurycea multiplicata",0.862880886426593,0.875346260387812,0.853185595567867
"eurycea nana",1,1,1
"laudakia stellio",0.887727022564667,0.891029168959823,0.888460832874702
"charina bottae",0.847895408163265,0.85140306122449,0.833227040816326
"chamaeleo dilepis",0.648909299655569,0.569230769230769,0.63788748564868
"chamaeleo hohnelii",0.898393194706995,0.882797731568998,0.914461247637051
"thamnophis ordinoides",0.906979447145653,0.914766673769442,0.91193847703543
"sphaerodactylus macrolepis",0.902244897959184,0.897551020408163,0.961224489795918
"camponotus slyvaticus",0.741830065359477,0.705882352941177,0.788671023965142
"uta stansburiana",0.797009738554168,0.775522285529559,0.796500585929608
"eremias multiocellata",0.675625,0.686875,0.763125
"takydromus sexlineatus",0.78781512605042,0.789915966386555,0.809873949579832
"zootoca vivipara",0.905312113221169,0.900593826594665,0.890858347337633
"phrynosoma cornutum",0.702227104333592,0.70037477384337,0.704445593176532
"sceloporus graciosus",0.931025643812588,0.930032933350729,0.919783378983523
"sceloporus malachiticus",0.774517374517375,0.753667953667954,0.804633204633205
"sceloporus occidentalis",0.843816894119262,0.820437305044235,0.832511725035089
"sceloporus variabilis",0.872071340908191,0.852329862623227,0.860166673264977
"urosaurus ornatus",0.7684323286052,0.76637300531915,0.757568705673758
"anolis carolinensis",0.827796454767727,0.813844743276285,0.831257640586799
"anolis cristatellus",0.905666111268299,0.904974483112746,0.904932566254832
"anolis cupreus",0.920545277507304,0.921129503407985,0.961635832521909
"anolis cybotes",0.74285730576034,0.741534531812145,0.741397693127848
"anolis gundlachi",0.92090395480226,0.920506087371688,0.939524150553036
"anolis humilis",0.786931818181818,0.840909090909091,0.865056818181818
"anolis lemurinus",0.832352666479872,0.827103763892781,0.856785280657514
"anolis limifrons",0.915513058370201,0.909661766804623,0.908805480234051
"anolis shrevei",1,1,1
"ctenotus regius",0.726109230349033,0.727879183198209,0.709502220976368
"ctenotus taeniolatus",0.895292744799594,0.887083713850841,0.869764586504313
"ctenotus uber",0.594375,0.584375,0.68
"eremiascincus fasciolatus",0.796886174304658,0.785997770776558,0.798819027001955
"eremiascincus richardsoni",0.733253054589547,0.726407709424258,0.724955363686027
"plestiodon gilberti",0.856205895743227,0.845876963350784,0.849149214659685
"ameiva festiva",0.731554160125588,0.676609105180534,0.780743066457352
"liolaemus bibronii",0.797710639894914,0.808406830549821,0.823043723024958
"liolaemus cf elongatus",0.833589901477832,0.833358990147783,0.836437807881773
"liolaemus chiliensis",0.736585365853658,0.733797909407666,0.810452961672474
"liolaemus constanzae",0.837257617728532,0.845567867036011,0.877423822714681
"liolaemus darwinii",0.789772727272727,0.793388429752066,0.79842458677686
"liolaemus kriegi",0.832532051282051,0.83573717948718,0.855769230769231
"liolaemus lemniscatus",0.886346986346986,0.884282384282384,0.884748584748584
"liolaemus monticola",0.935416666666667,0.9109375,0.983854166666667
"liolaemus nigroviridis",0.912567132116004,0.923737916219119,0.864876476906552
"liolaemus nitidus",0.90625,0.875,0.9375
"liolaemus schroederi",0.942222222222222,0.946666666666666,0.94074074074074
"linepithema humile",0.898231031543052,0.876420858198353,0.910343847684003
"myrmecocystus mimicu",0.751,0.7598,0.821
"pheidole pallldula",0.71236559139785,0.69933829611249,0.69251447477254
"liolaemus tenuis",0.797347249402044,0.774733637747336,0.86692759295499
"protobothrops mucrosquamatus",0.892011834319527,0.88905325443787,0.920118343195266
"lepidophyma flavimaculatum",0.717719568567026,0.70693374422188,0.746070878274268
"xantusia riversiana",1,1,0.681159420289855
"xantusia vigilis",0.90068907563025,0.891088235294115,0.900319327731088
"plagiolepis pygmaea",0.709259259259259,0.748148148148148,0.622222222222222
"plagiolepis pygmaea",0.732718894009217,0.717357910906298,0.817204301075269
"plagiolepis pygmaea",0.726785714285714,0.685714285714286,0.776785714285714
"plagiolepis pygmaea",0.653021442495127,0.668615984405458,0.670565302144249
"pogonomyrmex californicus",0.838690476190476,0.84047619047619,0.862797619047619
"pogonomyrmex rugosus",0.721934927817281,0.718631042160454,0.759857789269554
"proformica longiseta",0.947552447552448,0.949300699300699,0.956293706293706
"micrathyria aequalis",0.85,0.82421875,0.81953125
"pachydiplax longipennis",0.699591806983016,0.701763976966251,0.686048545812377
"bufo alvarius",0.736686390532544,0.711538461538462,0.738165680473373
"bufo boreas",0.790783306741125,0.784490925408856,0.785737435181492
"bufo canaliferus",0.951328502415459,0.950314009661836,0.942681159420288
"bufo canorus",0.91015625,0.911024305555555,0.913194444444444
"bufo cognatus",0.814990966096291,0.803565734934636,0.824768838346265
"bufo debilis",0.922407873655299,0.919981689173724,0.92295719844358
"bufo haemititicus",0.821146844660195,0.821854773462783,0.836519012944984
"bufo marinus",0.791724434203588,0.79048772073708,0.798476455796172
"bufo marmoreus",0.876684798305576,0.872785693655533,0.873772504091653
"bufo mazatlanensis",0.934788788447325,0.931946102677809,0.934277105008811
"bufo woodhousii fowleri",0.782477678571428,0.774441964285714,0.831975446428571
"dendrobates auratus",0.837662337662338,0.813311688311688,0.894480519480519
"cyclorana alboguttatus",0.710304668815639,0.653183598488787,0.715399812831445
"hyla bicolor",0.722222222222222,0.724358974358974,0.790598290598291
"hyla chrysocelis",0.736408792096663,0.707858349553785,0.716292372103272
"hyla cinerea",0.939405439967363,0.930359748634906,0.934098059059814
"hyla ewingi",0.858418367346939,0.831632653061225,0.896683673469388
