celatoblatta quinquemaculata
onychiurus vontoernei
cf derocalymma sp
cf perisphaeria sp1
cf perisphaeria sp2
cf perisphaeria sp3
calathus melanocephalus l
colpodes sp1
colpodes sp2
pterostichini sp
chirodica chalcoptera
chrysomela aeneicollis
melasoma collaris
afrinus sp
cf planostibes sp
cf psorodes sp
cf somaticus sp
gonocephalum simplex
stenocara dentata
diamesa sp
glossina pallidipes
tetracanthella afurcata
nysius wekiuicola
eurygaster integriceps put
aphanenogaster senilis
camponotus cruentatus
camponotus slyvaticus
cataglyphis cursor
formica perpilosa
melophorus bagoti
messor bouvieri
messor capitatus
myrmecocystus depilis
myrmecocystus mexican
myrmecocystus mimicu
myrmecocystus romainei
pheidole pallldula
proformica ferreri
tetromorium nigerrimum
tetromorium semilaeve
trachymyrmex smithi neomexicanus
coptotermes formosanus
reticulitermes flavipes
agrotis sp
spodoptera exempta
apteropanorpa tasmanica
erthemis simplicicollis
erythemis credula
erythemis plebeja
micrathyria eximia
micrathyria ocellata
tauriphila argo
tramea carolina
tramea cophysa
tramea walkeri
macromia taeniolata
meridacris subaptera
taeniopoda eques
hemidiena maori
bufo cocifer
bufo exsul
bufo haemititicus
bufo leutkeni
bufo nelsoni
eleutherodactylus fleischmanni
cyclorana alboguttatus
hyla alpina
hyla aurea
hyla bicolor
hyla caerulea
hyla chloris
hyla chrysocelis
hyla citropa
hyla ewingi
hyla freycineti
hyla glauerti
hyla gracilenta
hyla labialis
hyla lesueuri
hyla peroni
hyla phaeota
hyla phyllochroa
hyla rothi
hyla rubella
hyla verreauxi
phyllomedusa dacnicolor
pseudacris triseriata
pseudacris triseriata
pternohyla fodiens
smilisca baudini
tlalocohyla smithi
craugastor fleischmanni
eleutherodactylus portoricensus
leptodactylus melanotus
cophixalis ornatus
gastrophyrne mazatlanensis
hypophacus sp
crinia darlingtoni
crinia laevis
crinia parainsignifera
crinia signifera
crinia victoriana
limnodynastes peroni
limnodynastes tasmaniensis
myxophyes fasciolatus
philoria frosti
philoria sphagnicola
pseudophryne bibroni
paa spinosa
rana boyleri
rana pretiosa
rana sylvaticus
spea hammondi
spea holbrooki
desmognathus fuscus
desmognathus ochrophaeus
diemictylus viridescens
eurycea bislineata
plethodon glutinosus
trapelus savignyi
chamaeleo bitaeniatus
chamaeleo ellioti
chamaeleo hohnelii
chamaeleo jacksonii
chamaeleo schubotzi
thamnophis sirtalis concinnus
platysaurus intermedius wilhelmi
pseudocordylus melanotus-melanotus
hemachatus haemachatus
hoplodactylus maculatus
sphaerodactylus gaigeae
sphaerodactylus klauberi
sphaerodactylus nicholsi
sphaerodactylus roosevelti
tarentola boettgeri
uta stansburiana
eremias argus
eremias brenchleyi
takydromus formosanus
takydromus formosanus
takydromus formosanus
takydromus formosanus
takydromus hsuehshanensis
takydromus hsuehshanensis
takydromus hsuehshanensis
takydromus hsuehshanensis
takydromus septentrionalis
takydromus stejnegeri
takydromus stejnegeri
takydromus stejnegeri
takydromus stejnegeri
zootoca vivipara
phrynosoma douglassii
sceloporus jarrovi
sceloporus undulatus
anolis cooki
anolis intermedius
anolis lionotus
anolis tropidolepis
egernia striola
eremiascincus richardsoni
eumeces elegans
oligosoma maccanni
sphenomorphus incognitus
sphenomorphus taiwanensis
cnemidophorus tigris
liolaemus abaucan
liolaemus albiceps
liolaemus altissimus
liolaemus boulengeri
liolaemus canqueli
liolaemus capillitas
liolaemus cf telsen
liolaemus chacoensis
liolaemus constanzae
liolaemus cuyanus
liolaemus fabiani
liolaemus fitzingerii
liolaemus fuscus
liolaemus irregularis
liolaemus kingii
liolaemus koslowskyi
liolaemus laurenti
liolaemus leopardinus
liolaemus melanops
liolaemus multicolor
liolaemus multimaculatus
liolaemus nigroroseus
liolaemus olongasta
liolaemus petrophilus
liolaemus poecilochromus
liolaemus pseudoanomalus
liolaemus quilmes
liolaemus riojanus
liolaemus robertmertensi
liolaemus rothi
liolaemus salinicola
liolaemus scapularis
liolaemus scrocchi
liolaemus sp 1
liolaemus sp 2
liolaemus sp 3
liolaemus xanthoviridis
phymaturus patagonicus
trimeresurus gracilis
trimeresurus stejnegeri stejnegeri
