"species","graf_cur_auc","phys_cur_auc","maxent_cur_auc"
"canthon humectus hidalgoensis",0.906894429055094,0.900123114804555,0.918205601723607
"eciton burchellii",0.865264823451032,0.861900399733511,0.91401565622918
"linepithema humile",0.875560652395516,0.876376146788991,0.897443085287123
"plagiolepis pygmaea",0.589160839160839,0.629370629370629,0.681818181818182
"plagiolepis pygmaea",0.682395644283122,0.686025408348457,0.644283121597096
"plagiolepis pygmaea",0.605357142857143,0.608928571428571,0.735714285714286
"plagiolepis pygmaea",0.718531468531469,0.688811188811189,0.692307692307692
"pogonomyrmex californicus",0.691666666666667,0.671726190476191,0.669047619047619
"pogonomyrmex rugosus",0.655675287356321,0.658261494252873,0.675862068965517
"proformica longiseta",0.949300699300699,0.949300699300699,0.965034965034965
"eucheira socialis",0.82830809446548,0.822476113214354,0.877623039480801
"micrathyria aequalis",0.731707317073171,0.730803974706414,0.773261065943993
"pachydiplax longipennis",0.696614814814814,0.694851851851852,0.698437037037037
"bufo alvarius",0.773333333333333,0.754074074074074,0.767407407407407
"bufo boreas",0.786890196335011,0.783820102571328,0.815733978891847
"bufo canaliferus",0.906899055918664,0.898862260953764,0.933284918905834
"bufo canorus",0.945963541666667,0.942491319444444,0.963324652777778
"bufo cognatus",0.734350090339037,0.728664045063237,0.733207567222871
"bufo debilis",0.883193969726562,0.882736206054688,0.90264892578125
"bufo marinus",0.736300744467906,0.736061394224035,0.767332946827013
"bufo marmoreus",0.840145719489982,0.837959927140255,0.851900425015179
"bufo mazatlanensis",0.916363636363636,0.915524475524475,0.95888111888112
"bufo woodhousii fowleri",0.790269966254217,0.783520809898762,0.844713160854893
"dendrobates auratus",0.807936507936508,0.783333333333333,0.853968253968254
"acris crepitans",0.824854972120951,0.822419979204112,0.859562468908351
"hyla cinerea",0.887906630675524,0.884939668696936,0.900840370062755
"hyla gratiosa",0.671072589382449,0.562296858071506,0.718093174431203
"hyla regilla",0.742502761285691,0.741228083745077,0.768964695763553
"hyla squirella",0.916904515348053,0.915656706185407,0.9199767075623
"hyla walkeri",0.930666666666667,0.914666666666667,0.926666666666667
"litoria gracilenta",0.767288793889947,0.767106326408259,0.782589995568648
"pseudacris triseriata",0.769512835074151,0.76947833025426,0.764125770068505
